TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Okta	oka.com	LOW_MATCH	2	okta.com	www.okta.com	23.227.38.65	https	200	www.oka.com	0.29	0.03	Unknown	cloudflare	redirects to www.oka.com
Zendesk	tendesk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	104.21.77.181,172.67.210.238,2606:4700:3032::6815:4db5,2606:4700:3035::ac43:d2ee	https	403	www.tendesk.com	0.32	0.03	Unknown	cloudflare	redirects to www.tendesk.com
Auth0	auth0a.com	LOW_MATCH	2	auth0.com	auth0.com	104.18.36.60,172.64.151.196,2606:4700:4405::ac40:97c4,2a06:98c1:3106::6812:243c	https	403	auth0a.com	0.29	0.02	Unknown	cloudflare	
Auth0	auth0b.com	LOW_MATCH	2	auth0.com	auth0.com	172.64.149.55,104.18.38.201,2606:4700:4404::6812:26c9,2a06:98c1:3106::ac40:9537	https	403	auth0b.com	0.32	0.02	Unknown	cloudflare	
Dropbox	dropbex.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.30	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Dropbox	dropbnox.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.30	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Dropbox	dropboxa.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	62.212.89.90	https	200	pbrowsing.pbrowsingapp.online	0.00	0.02	Unknown	cloudflare	redirects to pbrowsing.pbrowsingapp.online; page title unavailable
Dropbox	dropboxy.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.32	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Dropbox	drophbox.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.32	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Dropbox	dropibox.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.32	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Dropbox	dropnox.com	LOW_MATCH	2	dropbox.com	www.dropbox.com	104.247.81.99	https	200	dropnox.com	0.82	0.02	Unknown	Hidden	server banner unavailable
Dropbox	hallosign.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	172.67.139.132,104.21.8.139,2606:4700:3034::ac43:8b84,2606:4700:3031::6815:88b	https	200	xsigi.com	0.32	0.02	Unknown	cloudflare	redirects to xsigi.com
GitLab	fitlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	75.2.70.75,99.83.190.102	https	200	www.fitlab.com	0.41	0.02	Unknown	cloudflare	redirects to www.fitlab.com
GitLab	gitlan.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c606:78d4:4260:db4e:aeee,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb	https	200	www.hugedomains.com	0.29	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
GitLab	gltlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.13	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
GitLab	gotlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c606:78d4:4260:db4e:aeee,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb	https	200	www.hugedomains.com	0.13	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
GitLab	gutlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	52.20.84.62	https	200	www.atom.com	0.20	0.02	Unknown	cloudflare	redirects to www.atom.com
Google	xn--oogle-60a.com	LOW_MATCH	2	google.com	www.google.com	172.67.194.177,104.21.12.133,2606:4700:3033::6815:c85,2606:4700:3031::ac43:c2b1	https	200	xn--oogle-60a.com	0.77	0.02	Unknown	cloudflare	
Okta	octa.com	LOW_MATCH	2	okta.com	www.okta.com	23.227.38.65	https	200	octa.com	0.13	0.02	Unknown	cloudflare	
Okta	oita.com	LOW_MATCH	2	okta.com	www.okta.com	172.67.212.169,104.21.45.90,2606:4700:3035::6815:2d5a,2606:4700:3030::ac43:d4a9	https	200	bestweb.com	0.14	0.02	Unknown	cloudflare	redirects to bestweb.com
Okta	oktap.com	LOW_MATCH	2	okta.com	www.okta.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.29	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Okta	oktya.com	LOW_MATCH	2	okta.com	www.okta.com	172.67.68.44,104.26.3.86,104.26.2.86,2606:4700:20::ac43:442c,2606:4700:20::681a:256,2606:4700:20::681a:356	https	403	oktya.com	0.34	0.02	Unknown	cloudflare	
Okta	olkta.com	LOW_MATCH	2	okta.com	www.okta.com	142.93.207.227	https	403	menu.brianburgers.com.ar	0.25	0.02	Unknown	cloudflare	redirects to menu.brianburgers.com.ar
Shopify	shopefy.com	LOW_MATCH	2	shopify.com	www.shopify.com	23.227.38.65	https	200	shopefy.com	0.11	0.02	Unknown	cloudflare	
Shopify	xn--shopfy-zk8b.com	LOW_MATCH	2	shopify.com	www.shopify.com	104.21.39.98,172.67.144.47,2606:4700:3033::6815:2762,2606:4700:3035::ac43:902f	https	200	xn--shopfy-zk8b.com	0.17	0.02	Unknown	cloudflare	
Slack	sladc.com	LOW_MATCH	2	slack.com	slack.com	15.197.225.128,3.33.251.168	https	200	shineslikeadiamond.com	0.08	0.02	Unknown	Apache	redirects to shineslikeadiamond.com
Stripe	stripr.com	LOW_MATCH	2	stripe.com	stripe.com	16.55.1.45,15.157.130.55	https	200	stripr.com	0.34	0.02	Unknown	nginx	
Zendesk	rendesk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.14	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Zendesk	zenddesk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c606:78d4:4260:db4e:aeee,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb	https	200	www.hugedomains.com	0.19	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Zendesk	zondesk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c606:78d4:4260:db4e:aeee,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb	https	200	www.hugedomains.com	0.14	0.02	Unknown	cloudflare	redirects to www.hugedomains.com
Auth0	auth01.com	LOW_MATCH	2	auth0.com	auth0.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.17	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
Cloudflare	clo-udflare.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	172.67.145.187,104.21.79.132,2606:4700:3030::ac43:91bb,2606:4700:3030::6815:4f84	https	400	clo-udflare.com	0.17	0.01	Unknown	cloudflare	
